iter	Passed	Remaining
401	18156	27009
402	18203	26965
403	18251	26925
404	18298	26882
405	18344	26838
406	18389	26793
407	18434	26748
408	18479	26703
409	18525	26658
410	18570	26613
411	18617	26570
412	18663	26527
413	18711	26485
414	18757	26440
415	18802	26395
416	18847	26350
417	18893	26305
418	18938	26261
419	18984	26216
420	19029	26171
421	19075	26127
422	19122	26083
423	19168	26039
424	19214	25996
425	19260	25952
426	19306	25907
427	19353	25864
428	19400	25821
429	19422	25746
430	19468	25701
431	19514	25658
432	19560	25614
433	19582	25538
434	19628	25494
435	19674	25450
436	19719	25405
437	19765	25360
438	19811	25316
439	19857	25273
440	19903	25229
441	19949	25185
442	19997	25143
443	20043	25099
444	20089	25055
445	20135	25011
446	20180	24966
447	20242	24941
448	20290	24900
449	20338	24857
450	20385	24815
451	20433	24773
452	20480	24730
453	20527	24687
454	20552	24617
455	20600	24576
456	20632	24515
457	20680	24473
458	20727	24430
459	20775	24388
460	20823	24346
461	20870	24304
462	20918	24262
463	20965	24219
464	21011	24175
465	21058	24131
466	21104	24087
467	21151	24044
468	21198	24000
469	21245	23957
470	21293	23915
471	21340	23872
472	21386	23828
473	21439	23791
474	21488	23750
475	21535	23707
476	21582	23663
477	21628	23619
478	21675	23576
479	21721	23531
480	21768	23488
481	21815	23444
482	21862	23401
483	21907	23356
484	21952	23310
485	21999	23266
486	22047	23224
487	22094	23181
488	22142	23138
489	22189	23095
490	22238	23053
491	22286	23011
492	22334	22969
493	22383	22926
494	22430	22883
495	22478	22841
496	22527	22799
497	22576	22757
498	22623	22713
499	22669	22669
500	22715	22624
501	22761	22579
502	22807	22535
503	22853	22490
504	22901	22447
505	22951	22406
506	23009	22373
507	23066	22340
508	23124	22307
509	23184	22275
510	23242	22242
511	23299	22207
512	23348	22164
513	23395	22121
514	23443	22077
515	23474	22018
516	23522	21975
517	23570	21932
518	23617	21888
519	23664	21844
520	23711	21800
521	23758	21756
522	23807	21713
523	23854	21669
524	23902	21626
525	23950	21582
526	23998	21539
527	24045	21494
528	24090	21449
529	24136	21403
530	24166	21344
531	24213	21300
532	24260	21256
533	24308	21212
534	24355	21169
535	24403	21125
536	24451	21081
537	24498	21037
538	24545	20993
539	24592	20949
540	24639	20904
541	24686	20860
542	24733	20815
543	24778	20770
544	24824	20725
545	24870	20679
546	24916	20634
547	24963	20589
548	25009	20544
549	25054	20499
550	25100	20453
551	25145	20408
552	25191	20363
553	25237	20317
554	25283	20272
555	25329	20226
556	25374	20181
557	25420	20136
558	25466	20090
559	25513	20045
560	25559	20000
561	25605	19955
562	25650	19909
563	25696	19864
564	25741	19818
565	25787	19773
566	25817	19715
567	25863	19671
568	25910	19626
569	25956	19581
570	26003	19536
571	26049	19491
572	26095	19446
573	26140	19400
574	26169	19342
575	26215	19297
576	26261	19252
577	26307	19207
578	26354	19162
579	26399	19117
580	26445	19071
581	26475	19015
582	26521	18970
583	26568	18925
584	26615	18881
585	26661	18836
586	26706	18790
587	26753	18745
588	26799	18700
589	26845	18655
590	26891	18610
591	26937	18565
592	26985	18521
593	27032	18476
594	27061	18420
595	27107	18374
596	27154	18330
597	27200	18285
598	27247	18240
599	27293	18195
600	27340	18151
601	27386	18106
602	27433	18061
603	27480	18016
604	27526	17972
605	27572	17926
606	27618	17881
607	27664	17836
608	27710	17790
609	27757	17746
610	27803	17701
611	27850	17656
612	27895	17611
613	27941	17566
614	27987	17520
615	28032	17475
616	28078	17429
617	28123	17383
618	28168	17338
619	28214	17292
620	28260	17247
621	28305	17201
622	28350	17156
623	28396	17110
624	28441	17065
625	28487	17019
626	28532	16974
627	28579	16928
628	28625	16883
629	28670	16838
630	28716	16792
631	28761	16747
632	28811	16704
633	28864	16663
634	28898	16611
635	28946	16567
636	28994	16522
637	29040	16477
638	29086	16432
639	29132	16386
640	29178	16342
641	29225	16296
642	29270	16251
643	29316	16206
644	29362	16160
645	29408	16115
646	29454	16070
647	29502	16026
648	29549	15981
649	29596	15936
650	29643	15891
651	29690	15846
652	29736	15801
653	29783	15757
654	29829	15711
655	29875	15666
656	29921	15621
657	29967	15575
658	30016	15532
659	30075	15493
660	30135	15455
661	30193	15416
662	30222	15362
663	30272	15318
664	30321	15274
665	30370	15230
666	30418	15186
667	30466	15142
668	30498	15089
669	30547	15045
670	30595	15001
671	30643	14956
672	30691	14912
673	30739	14868
674	30787	14823
675	30836	14779
676	30885	14735
677	30933	14691
678	30981	14646
679	31030	14602
680	31078	14557
681	31125	14513
682	31172	14468
683	31220	14423
684	31266	14378
685	31299	14326
686	31345	14281
687	31392	14236
688	31439	14191
689	31487	14146
690	31534	14101
691	31581	14056
692	31629	14011
693	31676	13966
694	31724	13922
695	31770	13876
696	31818	13832
697	31865	13787
698	31912	13742
699	31959	13697
700	32007	13652
701	32054	13607
702	32101	13562
703	32148	13516
704	32196	13472
705	32243	13427
706	32289	13381
707	32337	13336
708	32383	13291
709	32430	13246
710	32476	13200
711	32523	13155
712	32570	13110
713	32616	13065
714	32663	13019
715	32710	12974
716	32757	12929
717	32803	12883
718	32850	12838
719	32898	12793
720	32944	12748
721	32991	12703
722	33038	12657
723	33085	12612
724	33132	12567
725	33179	12522
726	33226	12477
727	33273	12431
728	33320	12386
729	33366	12340
730	33414	12296
731	33461	12250
