iter	Logloss
0	0.6864581782
1	0.6803156588
2	0.6745490127
3	0.6688993275
4	0.6641293781
5	0.6590145157
6	0.6542491699
7	0.6499879397
8	0.6462165589
9	0.6429401877
10	0.6394008568
11	0.6349711665
12	0.6317270708
13	0.6278102984
14	0.6245436908
15	0.6215419651
16	0.6181795932
17	0.6155562197
18	0.61264009
19	0.6094700054
20	0.6065054624
21	0.6037321442
22	0.6008869397
23	0.5982404978
24	0.5955405332
25	0.5936227191
26	0.5921372857
27	0.5897089819
28	0.5873886848
29	0.5846932226
30	0.5832682932
31	0.5816423248
32	0.5800047209
33	0.5784749214
34	0.5769626761
35	0.5751936431
36	0.5740484687
37	0.5725341493
38	0.5706394542
39	0.5691547291
40	0.5680802271
41	0.5668414132
42	0.5649132284
43	0.5639496672
44	0.5627788444
45	0.5620606885
46	0.5609205225
47	0.5601112059
48	0.558703932
49	0.557256339
50	0.5561557838
51	0.554720332
52	0.5530814129
53	0.5519725106
54	0.5510699086
55	0.5496083025
56	0.5484721836
57	0.5473686942
58	0.5459476096
59	0.5445901149
60	0.5437040554
61	0.5429722912
62	0.5420153571
63	0.5409121207
64	0.5403574166
65	0.5392762875
66	0.5381429003
67	0.5366688494
68	0.5358385386
69	0.5351027273
70	0.5338880948
71	0.5332688396
72	0.5324431829
73	0.5318364737
74	0.5309169246
75	0.5302647868
76	0.5290762075
77	0.5286314324
78	0.5281622231
79	0.5269853297
80	0.5264437787
81	0.5257915903
82	0.5250658461
83	0.5245619836
84	0.5241228745
85	0.5235100441
86	0.5229688471
87	0.5222132051
88	0.5216826823
89	0.5210364635
90	0.5196917677
91	0.5192361161
92	0.518676859
93	0.5181736541
94	0.5174391581
95	0.5168450961
96	0.5161868371
97	0.515717476
98	0.5151461282
99	0.5146770201
100	0.5142141343
101	0.5135318963
102	0.5126643523
103	0.5120302747
104	0.5112521207
105	0.5104754844
106	0.5095252279
107	0.509026576
108	0.5085048051
109	0.5078141188
110	0.5070082423
111	0.5063893413
112	0.5055879165
113	0.5050598726
114	0.5042947705
115	0.5033703649
116	0.5025658036
117	0.5023537362
118	0.5019204448
119	0.5014574072
120	0.5011452755
121	0.5003500732
122	0.4999337795
123	0.4996552892
124	0.4992168883
125	0.4989053637
126	0.4981032307
127	0.4977669176
128	0.4968238954
129	0.4965117637
130	0.4957313332
131	0.4956927341
132	0.4949718464
133	0.4945905095
134	0.4941550933
135	0.4941441662
136	0.4936570991
137	0.4933752699
138	0.4926618188
139	0.4922048013
140	0.4919095662
141	0.491661682
142	0.490874928
143	0.4902164666
144	0.4895125767
145	0.4891815755
146	0.4891791472
147	0.4888154657
148	0.4881376795
149	0.4878839271
150	0.4872669484
151	0.4871158908
152	0.4868655278
153	0.4862214336
154	0.4857106404
155	0.4853263694
156	0.485025873
157	0.4847812265
158	0.4844172415
159	0.4838728069
160	0.4836414146
161	0.4834431578
162	0.4828371063
163	0.4825886151
164	0.4820451416
165	0.4817271922
166	0.4817153545
167	0.4816403316
168	0.4807164318
169	0.4804915655
170	0.4798612314
171	0.4793066285
172	0.4787740316
173	0.4783841452
174	0.4779015805
175	0.4777266956
176	0.4771836775
177	0.4768239925
178	0.4761938608
179	0.475812018
180	0.4754552671
181	0.4749979461
182	0.4745253473
183	0.4736595739
184	0.4728981647
185	0.4728964447
186	0.4726622195
187	0.4722833614
188	0.4717576951
189	0.4714129338
190	0.4710220862
191	0.4707541183
192	0.4703476894
193	0.4697851441
194	0.4691699866
195	0.4691682666
196	0.4685887741
197	0.468249881
198	0.468246188
199	0.4680987223
200	0.46794812
201	0.4672845998
202	0.4666267961
203	0.4661295101
204	0.4654733252
205	0.4642419985
206	0.4639820742
207	0.4636194045
208	0.4631848989
